Framing,N,Po,Pe,kappa,kappa_lo,kappa_hi,Interpretation,Notes
3-category (INCLUDE/MAYBE/EXCLUDE),25,0.5200,0.3440,0.2683,-0.0302,0.5668,fair,Penalises AI MAYBE for triggering human adjudication (its design intent).
Binary 'advance vs exclude at t/a',25,0.6800,0.4560,0.4118,0.0756,0.7479,moderate,Measures triage accuracy; AI's role is to advance records for human review.
Committed-verdict subset,15,0.8667,0.6000,0.6667,0.2366,1.0967,substantial,AI=MAYBE records excluded; agreement on records where AI committed to a verdict.

Per-pair table
Sample_ID,Stratum,PMID,AI_Verdict,Human_Verdict,Match?
1,AI-INCLUDE,41944974,INCLUDE,INCLUDE,MATCH
2,AI-INCLUDE,39412688,INCLUDE,INCLUDE,MATCH
3,AI-INCLUDE,39974018,INCLUDE,EXCLUDE,DIFFER
4,AI-INCLUDE,40020550,INCLUDE,EXCLUDE,DIFFER
5,AI-INCLUDE,41663975,INCLUDE,INCLUDE,MATCH
6,AI-EXCLUDE,36702038,EXCLUDE,EXCLUDE,MATCH
7,AI-EXCLUDE,39896390,EXCLUDE,EXCLUDE,MATCH
8,AI-EXCLUDE,36819269,EXCLUDE,EXCLUDE,MATCH
9,AI-EXCLUDE,36976511,EXCLUDE,EXCLUDE,MATCH
10,AI-EXCLUDE,41030436,EXCLUDE,EXCLUDE,MATCH
11,AI-EXCLUDE,41225984,EXCLUDE,EXCLUDE,MATCH
12,AI-EXCLUDE,38154327,EXCLUDE,EXCLUDE,MATCH
13,AI-EXCLUDE,37321358,EXCLUDE,EXCLUDE,MATCH
14,AI-EXCLUDE,40883826,EXCLUDE,EXCLUDE,MATCH
15,AI-EXCLUDE,38293188,EXCLUDE,EXCLUDE,MATCH
16,AI-MAYBE,39915711,MAYBE,INCLUDE,DIFFER
17,AI-MAYBE,40360672,MAYBE,EXCLUDE,DIFFER
18,AI-MAYBE,34817635,MAYBE,INCLUDE,DIFFER
19,AI-MAYBE,40882615,MAYBE,EXCLUDE,DIFFER
20,AI-MAYBE,37129296,MAYBE,EXCLUDE,DIFFER
21,AI-MAYBE,37993801,MAYBE,EXCLUDE,DIFFER
22,AI-MAYBE,38858123,MAYBE,EXCLUDE,DIFFER
23,AI-MAYBE,40217563,MAYBE,INCLUDE,DIFFER
24,AI-MAYBE,38939344,MAYBE,INCLUDE,DIFFER
25,AI-MAYBE,36376154,MAYBE,EXCLUDE,DIFFER
